"Order";"Level";"Code";"Parent";"Description"
"1456529";"5";"01379";"0137";"Other nuts (excluding wild edible nuts and groundnuts), in shell"
"1456530";"3";"014";"01";"Oilseeds and oleaginous fruits"
"1456531";"4";"0141";"014";"Soya beans"
"1456532";"5";"01411";"0141";"Soya beans, seed for planting"
"1456533";"5";"01412";"0141";"Soya beans, other"
"1456534";"4";"0142";"014";"Groundnuts, excluding shelled"
"1456535";"5";"01421";"0142";"Groundnuts, seed for planting"
"1456536";"5";"01422";"0142";"Groundnuts, in shell"
"1456537";"4";"0143";"014";"Cottonseed"
"1456538";"5";"01431";"0143";"Cottonseed, seed for planting"
"1456539";"5";"01432";"0143";"Cottonseed, other"
"1456540";"4";"0144";"014";"Other oilseeds"
"1456541";"5";"01441";"0144";"Linseed"
"1456542";"5";"01442";"0144";"Mustard seed"
"1456543";"5";"01443";"0144";"Rape or colza seed"
"1456544";"5";"01444";"0144";"Sesame seed"
"1456545";"5";"01445";"0144";"Sunflower seed"
"1456546";"5";"01446";"0144";"Safflower seed"
"1456547";"5";"01447";"0144";"Castor oil seeds"
"1456548";"5";"01448";"0144";"Poppy seed"
"1456549";"5";"01449";"0144";"Other oilseeds, n.e.c."
"1456550";"4";"0145";"014";"Olives"
"1456551";"5";"01450";"0145";"Olives"
"1456552";"4";"0146";"014";"Coconuts, in shell"
"1456553";"5";"01460";"0146";"Coconuts, in shell"
"1456554";"4";"0149";"014";"Other oleaginous fruits"
"1456555";"5";"01491";"0149";"Palm nuts and kernels"
"1456556";"5";"01492";"0149";"Copra"
"1456557";"5";"01499";"0149";"Other oleaginous fruits, n.e.c."
"1456558";"3";"015";"01";"Edible roots and tubers with high starch or inulin content"
"1456559";"4";"0151";"015";"Potatoes"
"1456560";"5";"01510";"0151";"Potatoes"
"1456561";"4";"0152";"015";"Cassava"
"1456562";"5";"01520";"0152";"Cassava"
"1456563";"4";"0153";"015";"Sweet potatoes"
"1456564";"5";"01530";"0153";"Sweet potatoes"
"1456565";"4";"0154";"015";"Yams"
"1456566";"5";"01540";"0154";"Yams"
"1456567";"4";"0155";"015";"Taro"
"1456568";"5";"01550";"0155";"Taro"
"1456569";"4";"0159";"015";"Other edible roots and tubers with high starch or inulin content"
"1456570";"5";"01591";"0159";"Yautia"
"1456571";"5";"01599";"0159";"Other edible roots and tubers with high starch or inulin content, n.e.c."
"1456572";"3";"016";"01";"Stimulant, spice and aromatic crops"
"1456573";"4";"0161";"016";"Coffee, green"
"1456574";"5";"01610";"0161";"Coffee, green"
"1456575";"4";"0162";"016";"Tea leaves"
"1456576";"5";"01620";"0162";"Tea leaves"
"1456577";"4";"0163";"016";"Maté leaves"
"1456578";"5";"01630";"0163";"Maté leaves"
"1456579";"4";"0164";"016";"Cocoa beans"
"1456580";"5";"01640";"0164";"Cocoa beans"
"1456581";"4";"0165";"016";"Spice and aromatic crops, raw"
"1456582";"5";"01651";"0165";"Pepper (""Piper"" spp.), raw"
"1456583";"5";"01652";"0165";"Chillies and peppers, dry (""Capsicum"" spp., ""Pimenta"" spp.), raw"
"1456584";"5";"01653";"0165";"Nutmeg, mace, cardamoms, raw"
"1456585";"5";"01654";"0165";"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"
"1456586";"5";"01655";"0165";"Cinnamon and cinnamon-tree flowers, raw"
"1456587";"5";"01656";"0165";"Cloves (whole stems), raw"
"1456588";"5";"01657";"0165";"Ginger, raw"
"1456589";"5";"01658";"0165";"Vanilla, raw"
"1456590";"5";"01659";"0165";"Hop cones"
"1456591";"4";"0169";"016";"Stimulant, spice and aromatic crops, n.e.c."
"1456592";"5";"01691";"0169";"Chicory roots"
"1456593";"5";"01699";"0169";"Other stimulant, spice and aromatic crops, n.e.c."
"1456594";"3";"017";"01";"Pulses (dried leguminous vegetables)"
"1456595";"4";"0170";"017";"Pulses (dried leguminous vegetables)"
"1456596";"5";"01701";"0170";"Beans, dry"
"1456597";"5";"01702";"0170";"Broad beans and horse beans, dry"
"1456598";"5";"01703";"0170";"Chick peas, dry"
"1456599";"5";"01704";"0170";"Lentils, dry"
"1456600";"5";"01705";"0170";"Peas, dry"
"1456601";"5";"01706";"0170";"Cow peas, dry"
"1456602";"5";"01707";"0170";"Pigeon peas, dry"
"1456603";"5";"01708";"0170";"Bambara beans, dry"
"1456604";"5";"01709";"0170";"Pulses, n.e.c."
"1456605";"3";"018";"01";"Sugar crops"
