"Order";"Level";"Code";"Parent";"Description";"This item includes";"This item also includes";"Rulings";"This item excludes"
"1210224";"6";"20.15.72";"20.15.7";"Diammonium hydrogenorthophosphate (diammonium phosphate)";;;;
"1210225";"6";"20.15.73";"20.15.7";"Monoammonium phosphate";;;;
"1210226";"6";"20.15.74";"20.15.7";"Fertilisers containing two nutrients: nitrogen and phosphorus";;;;
"1210227";"6";"20.15.75";"20.15.7";"Fertilisers containing two nutrients: phosphorus and potassium";;;;
"1210228";"6";"20.15.76";"20.15.7";"Potassium nitrates";;;;
"1210229";"6";"20.15.79";"20.15.7";"Mineral or chemical fertilisers containing at least two nutrients (nitrogen, phosphate, potash) n.e.c.";;;;
"1210230";"5";"20.15.8";"20.15";"Animal or vegetable fertilisers n.e.c.";;;;
"1210231";"6";"20.15.80";"20.15.8";"Animal or vegetable fertilisers n.e.c.";;;;
"1210232";"5";"20.15.9";"20.15";"Sub-contracted operations as part of manufacturing of fertilisers and nitrogen compounds";;;;
"1210233";"6";"20.15.99";"20.15.9";"Sub-contracted operations as part of manufacturing of fertilisers and nitrogen compounds";;;;
"1210234";"4";"20.16";"20.1";"Plastics in primary forms";;;;
"1210235";"5";"20.16.1";"20.16";"Polymers of ethylene, in primary forms";;;;
"1210236";"6";"20.16.10";"20.16.1";"Polymers of ethylene, in primary forms";;;;
"1210237";"5";"20.16.2";"20.16";"Polymers of styrene, in primary forms";;;;
"1210238";"6";"20.16.20";"20.16.2";"Polymers of styrene, in primary forms";;;;
"1210239";"5";"20.16.3";"20.16";"Polymers of vinyl chloride or of other halogenated olefins, in primary forms";;;;
"1210240";"6";"20.16.30";"20.16.3";"Polymers of vinyl chloride or of other halogenated olefins, in primary forms";;;;
"1210241";"5";"20.16.4";"20.16";"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms";;;;
"1210242";"6";"20.16.40";"20.16.4";"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms";;;;
"1210243";"5";"20.16.5";"20.16";"Other plastics in primary forms; ion exchangers";;;;
"1210244";"6";"20.16.51";"20.16.5";"Polymers of propylene or of other olefins, in primary forms";;;;
"1210245";"6";"20.16.52";"20.16.5";"Polymers of vinyl acetate or of other vinyl esters and other vinyl polymers, in primary forms";;;;
"1210246";"6";"20.16.53";"20.16.5";"Acrylic polymers, in primary forms";;;;
"1210247";"6";"20.16.54";"20.16.5";"Polyamides, in primary forms";;;;
"1210248";"6";"20.16.55";"20.16.5";"Urea resins, thiourea resins and melamine resins, in primary forms";;;;
"1210249";"6";"20.16.56";"20.16.5";"Other amino-resins, phenolic resins and polyurethanes, in primary forms";;;;
"1210250";"6";"20.16.57";"20.16.5";"Silicones, in primary forms";;;;
"1210251";"6";"20.16.59";"20.16.5";"Other plastics, in primary forms, n.e.c.";;;;
"1210252";"5";"20.16.9";"20.16";"Sub-contracted operations as part of manufacturing of plastics in primary forms";;;;
"1210253";"6";"20.16.99";"20.16.9";"Sub-contracted operations as part of manufacturing of plastics in primary forms";;;;
"1210254";"4";"20.17";"20.1";"Synthetic rubber in primary forms";;;;
"1210255";"5";"20.17.1";"20.17";"Synthetic rubber in primary forms";;;;
"1210256";"6";"20.17.10";"20.17.1";"Synthetic rubber in primary forms";;;;
"1210257";"5";"20.17.9";"20.17";"Sub-contracted operations as part of manufacturing of synthetic rubber in primary forms";;;;
"1210258";"6";"20.17.99";"20.17.9";"Sub-contracted operations as part of manufacturing of synthetic rubber in primary forms";;;;
"1210259";"3";"20.2";"20";"Pesticides and other agrochemical products";;;;
"1210260";"4";"20.20";"20.2";"Pesticides and other agrochemical products";;;;
"1210261";"5";"20.20.1";"20.20";"Pesticides and other agrochemical products";;;;
"1210262";"6";"20.20.11";"20.20.1";"Insecticides";;;;
"1210263";"6";"20.20.12";"20.20.1";"Herbicides";;;;
"1210264";"6";"20.20.13";"20.20.1";"Anti-sprouting products and plant growth regulators";;;;
"1210265";"6";"20.20.14";"20.20.1";"Disinfectants";;;;
"1210266";"6";"20.20.15";"20.20.1";"Fungicides";;;;
"1210267";"6";"20.20.16";"20.20.1";"Hazardous pesticides";;;;
"1210268";"6";"20.20.19";"20.20.1";"Other pesticides and other agrochemical products";;;;
"1210269";"5";"20.20.9";"20.20";"Sub-contracted operations as part of manufacturing of pesticides and other agro-chemical products";;;;
"1210270";"6";"20.20.99";"20.20.9";"Sub-contracted operations as part of manufacturing of pesticides and other agro-chemical products";;;;
"1210271";"3";"20.3";"20";"Paints, varnishes and similar coatings, printing ink and mastics";;;;
"1210272";"4";"20.30";"20.3";"Paints, varnishes and similar coatings, printing ink and mastics";;;;
"1210273";"5";"20.30.1";"20.30";"Paints and varnishes based on polymers";;;;
"1210274";"6";"20.30.11";"20.30.1";"Paints and varnishes based on acrylic or vinyl polymers, in an aqueous medium";;;;
"1210275";"6";"20.30.12";"20.30.1";"Paints and varnishes based on polyesters, acrylic or vinyl polymers, in a non-aqueous medium; solutions";;;;
"1210276";"5";"20.30.2";"20.30";"Other paints and varnishes and related products; artists' colour and printing ink";;;;
"1210277";"6";"20.30.21";"20.30.2";"Prepared pigments, opacifiers and colours, vitrifiable enamels and glazes, engobes, liquid lustres and the like; glass frit";;;;
"1210278";"6";"20.30.22";"20.30.2";"Other paints and varnishes; prepared driers";;;;
"1210279";"6";"20.30.23";"20.30.2";"Artists', students' or signboard painters' colours, modifying tints, amusement colours and the like";;;;
"1210280";"6";"20.30.24";"20.30.2";"Printing ink";;;;
"1210281";"5";"20.30.9";"20.30";"Sub-contracted operations as part of manufacturing of paints, varnishes and similar coatings, printing ink and mastics";;;;
"1210282";"6";"20.30.99";"20.30.9";"Sub-contracted operations as part of manufacturing of paints, varnishes and similar coatings, printing ink and mastics";;;;
"1210283";"3";"20.4";"20";"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations";;;;
"1210284";"4";"20.41";"20.4";"Soap and detergents, cleaning and polishing preparations";;;;
"1210285";"5";"20.41.1";"20.41";"Glycerol";;;;
"1210286";"6";"20.41.10";"20.41.1";"Glycerol";;;;
"1210287";"5";"20.41.2";"20.41";"Organic surface-active agents, except soap";;;;
"1210288";"6";"20.41.20";"20.41.2";"Organic surface-active agents, except soap";;;;
"1210289";"5";"20.41.3";"20.41";"Soap, washing and cleaning preparations";;;;
"1210290";"6";"20.41.31";"20.41.3";"Soap and organic surface-active products and preparations for use as soap; paper, wadding, felt and non-wovens, impregnated, coated or covered with soap or detergent";;;;
"1210291";"6";"20.41.32";"20.41.3";"Detergents and washing preparations";;;;
"1210292";"5";"20.41.4";"20.41";"Odoriferous preparations and waxes";;;;
"1210293";"6";"20.41.41";"20.41.4";"Preparations for perfuming or deodorising rooms";;;;
"1210294";"6";"20.41.42";"20.41.4";"Artificial waxes and prepared waxes";;;;
"1210295";"6";"20.41.43";"20.41.4";"Polishes and creams, for footwear, furniture, floors, coachwork, glass or metal";;;;
"1210296";"6";"20.41.44";"20.41.4";"Scouring pastes and powders and other scouring preparations";;;;
"1210297";"5";"20.41.9";"20.41";"Sub-contracted operations as part of manufacturing of soap and detergents, cleaning and polishing preparations";;;;
"1210298";"6";"20.41.99";"20.41.9";"Sub-contracted operations as part of manufacturing of soap and detergents, cleaning and polishing preparations";;;;
"1210299";"4";"20.42";"20.4";"Perfumes and toilet preparations";;;;
"1210300";"5";"20.42.1";"20.42";"Perfumes and toilet preparations";;;;
"1210301";"6";"20.42.11";"20.42.1";"Perfumes and toilet waters";;;;
"1210302";"6";"20.42.12";"20.42.1";"Lip and eye make-up preparations";;;;
"1210303";"6";"20.42.13";"20.42.1";"Manicure or pedicure preparations";;;;
"1210304";"6";"20.42.14";"20.42.1";"Powders for cosmetic or toilet use";;;;
"1210305";"6";"20.42.15";"20.42.1";"Beauty, make-up or skin-care preparations (including sun tan preparations) n.e.c.";;;;
"1210306";"6";"20.42.16";"20.42.1";"Shampoos, hair lacquers, preparations for permanent waving or straightening";;;;
"1210307";"6";"20.42.17";"20.42.1";"Lotions and other preparations for use on the hair n.e.c.";;;;
"1210308";"6";"20.42.18";"20.42.1";"Preparations for oral or dental hygiene (including denture fixative pastes and powders), dental floss";;;;
"1210309";"6";"20.42.19";"20.42.1";"Shaving preparations; personal deodorants and antiperspirants; bath preparations; other perfumery, cosmetic or toilet preparations n.e.c.";;;;
"1210310";"5";"20.42.9";"20.42";"Sub-contracted operations as part of manufacturing of perfumes and toilet preparations";;;;
"1210311";"6";"20.42.99";"20.42.9";"Sub-contracted operations as part of manufacturing of perfumes and toilet preparations";;;;
"1210312";"3";"20.5";"20";"Other chemical products";;;;
"1210313";"4";"20.51";"20.5";"Explosives";;;;
"1210314";"5";"20.51.1";"20.51";"Prepared explosives; safety fuses; percussion or detonating gaps; igniters; electric detonators; fireworks";;;;
"1210315";"6";"20.51.11";"20.51.1";"Propellant powders and prepared explosives";;;;
"1210316";"6";"20.51.12";"20.51.1";"Safety fuses; detonating fuses; caps; igniters; electric detonators";;;;
"1210317";"6";"20.51.13";"20.51.1";"Fireworks";;;;
"1210318";"6";"20.51.14";"20.51.1";"Signalling flares, rain rockets, fog signals and other pyrotechnic articles, excluding fireworks";;;;
"1210319";"5";"20.51.2";"20.51";"Matches";;;;
"1210320";"6";"20.51.20";"20.51.2";"Matches";;;;
"1210321";"5";"20.51.9";"20.51";"Sub-contracted operations as part of manufacturing of explosives";;;;
"1210322";"6";"20.51.99";"20.51.9";"Sub-contracted operations as part of manufacturing of explosives";;;;
"1210323";"4";"20.52";"20.5";"Glues";;;;
"1210324";"5";"20.52.1";"20.52";"Glues";;;;
"1210325";"6";"20.52.10";"20.52.1";"Glues";;;;
"1210326";"5";"20.52.9";"20.52";"Sub-contracted operations as part of manufacturing of glues";;;;
"1210327";"6";"20.52.99";"20.52.9";"Sub-contracted operations as part of manufacturing of glues";;;;
"1210328";"4";"20.53";"20.5";"Essential oils";;;;
"1210329";"5";"20.53.1";"20.53";"Essential oils";;;;
"1210330";"6";"20.53.10";"20.53.1";"Essential oils";;;;
"1210331";"5";"20.53.9";"20.53";"Sub-contracted operations as part of manufacturing of essential oils";;;;
"1210332";"6";"20.53.99";"20.53.9";"Sub-contracted operations as part of manufacturing of essential oils";;;;
"1210333";"4";"20.59";"20.5";"Other chemical products n.e.c.";;;;
"1210334";"5";"20.59.1";"20.59";"Photographic plates and film, instant print film; chemical preparations and unmixed products for photographic uses";;;;
"1210335";"6";"20.59.11";"20.59.1";"Photographic plates and film and instant print film, sensitised, unexposed; photographic paper";;;;
"1210336";"6";"20.59.12";"20.59.1";"Sensitising emulsions for photographic uses; chemical preparations for photographic uses n.e.c.";;;;
"1210337";"5";"20.59.2";"20.59";"Chemically modified animal or vegetable fats and oils; inedible mixtures of animal or vegetable fats or oils";;;;
"1210338";"6";"20.59.20";"20.59.2";"Chemically modified animal or vegetable fats and oils; inedible mixtures of animal or vegetable fats or oils";;;;
"1210339";"5";"20.59.3";"20.59";"Writing or drawing ink and other inks";;;;
"1210340";"6";"20.59.30";"20.59.3";"Writing or drawing ink and other inks";;;;
"1210341";"5";"20.59.4";"20.59";"Lubricating preparations; additives; anti-freezing preparations";;;;
"1210342";"6";"20.59.41";"20.59.4";"Lubricating preparations";;;;
"1210343";"6";"20.59.42";"20.59.4";"Anti-knock preparations; additives for mineral oils and similar products";;;;
"1210344";"6";"20.59.43";"20.59.4";"Hydraulic brake fluids; anti-freezing preparations and prepared de-icing fluids";;;;
"1210345";"5";"20.59.5";"20.59";"Miscellaneous chemical products";;;;
"1210346";"6";"20.59.51";"20.59.5";"Peptones, other protein substances and their derivatives n.e.c.; hide powder";;;;
"1210347";"6";"20.59.52";"20.59.5";"Modelling pastes; dental wax and other preparations for use in dentistry with a basis of plaster; preparations and charges for fire extinguishers; prepared culture media for development of micro-organisms; composite diagnostic or laboratory reagents n.e.c.";;;;
"1210348";"6";"20.59.53";"20.59.5";"Chemical elements in disk form and compounds doped for use in electronics";;;;
"1210349";"6";"20.59.54";"20.59.5";"Activated carbon";;;;
"1210350";"6";"20.59.55";"20.59.5";"Finishing agents, dye carriers to accelerate the dyeing or fixing of dye-stuffs and similar products";;;;
"1210351";"6";"20.59.56";"20.59.5";"Pickling preparations; fluxes; prepared rubber accelerators; compound plasticisers and stabilisers for rubber or plastics; catalytic preparations n.e.c.; mixed alkylbenzenes and mixed alkylnaphthalenes n.e.c.";;;;
"1210352";"6";"20.59.57";"20.59.5";"Prepared binders for foundry moulds or cores; chemical products";;;;
"1210353";"6";"20.59.58";"20.59.5";"Biodiesel";;;;
"1210354";"6";"20.59.59";"20.59.5";"Miscellaneous other chemical products n.e.c.";;;;
"1210355";"5";"20.59.6";"20.59";"Gelatines and gelatine derivatives, including milk albumins";;;;
"1210356";"6";"20.59.60";"20.59.6";"Gelatines and gelatine derivatives, including milk albumins";;;;
"1210357";"5";"20.59.9";"20.59";"Sub-contracted operations as part of manufacturing of other chemical products n.e.c.";;;;
"1210358";"6";"20.59.99";"20.59.9";"Sub-contracted operations as part of manufacturing of other chemical products n.e.c.";;;;
"1210359";"3";"20.6";"20";"Man-made fibres";;;;
"1210360";"4";"20.60";"20.6";"Man-made fibres";;;;
"1210361";"5";"20.60.1";"20.60";"Synthetic fibres";;;;
"1210362";"6";"20.60.11";"20.60.1";"Synthetic staple and tow, not carded or combed";;;;
"1210363";"6";"20.60.12";"20.60.1";"Polyamide and polyester high tenacity filament yarn";;;;
"1210364";"6";"20.60.13";"20.60.1";"Other synthetic filament yarn, single";;;;
"1210365";"6";"20.60.14";"20.60.1";"Synthetic monofilament; strip and the like, of synthetic textile materials";;;;
"1210366";"5";"20.60.2";"20.60";"Artificial fibres";;;;
"1210367";"6";"20.60.21";"20.60.2";"Artificial staple and tow, not carded or combed";;;;
"1210368";"6";"20.60.22";"20.60.2";"Viscose high tenacity filament yarn";;;;
"1210369";"6";"20.60.23";"20.60.2";"Other artificial filament yarn, single";;;;
"1210370";"6";"20.60.24";"20.60.2";"Artificial monofilament; strip and the like of artificial textile materials";;;;
"1210371";"5";"20.60.9";"20.60";"Sub-contracted operations as part of manufacturing of man-made fibres";;;;
"1210372";"6";"20.60.99";"20.60.9";"Sub-contracted operations as part of manufacturing of man-made fibres";;;;
"1210373";"2";"21";"C";"Basic pharmaceutical products and pharmaceutical preparations";;;;
"1210374";"3";"21.1";"21";"Basic pharmaceutical products";;;;
"1210375";"4";"21.10";"21.1";"Basic pharmaceutical products";;;;
"1210376";"5";"21.10.1";"21.10";"Salicylic acid, O-acetylsalicylic acid, their salts and esters";;;;
"1210377";"6";"21.10.10";"21.10.1";"Salicylic acid, O-acetylsalicylic acid, their salts and esters";;;;
"1210378";"5";"21.10.2";"21.10";"Lysine, glutamic acid and their salts; quaternary ammonium salts and hydroxides; phosphoaminolipids; amides and their derivatives and salts thereof";;;;
"1210379";"6";"21.10.20";"21.10.2";"Lysine, glutamic acid and their salts; quarternary ammonium salts and hydroxides; phosphoaminolipids; amides and their derivatives and salts thereof";;;;
"1210380";"5";"21.10.3";"21.10";"Lactones n.e.c., heterocyclic compounds with nitrogen hetero-atom(s) only, containing an unfused pyrazole ring, a pyrimidine ring, a piperazine ring, an unfused triazine ring or a phenothiazine ring system not further fused; hydantoin and its derivatives; sulphonamides";;;;
"1210381";"6";"21.10.31";"21.10.3";"Lactones n.e.c., heterocyclic compounds with nitrogen hetero-atom(s) only, containing an unfused pyrazole ring, a pyrimidine ring, a piperazine ring, an unfused triazine ring or a phenothiazine ring system not further fused; hydantoin and its derivatives";;;;
"1210382";"6";"21.10.32";"21.10.3";"Sulphonamides";;;;
"1210383";"5";"21.10.4";"21.10";"Sugars, chemically pure, n.e.c.; sugar ethers and esters and their salts n.e.c.";;;;
"1210384";"6";"21.10.40";"21.10.4";"Sugars, chemically pure, n.e.c.; sugar ethers and esters and their salts n.e.c.";;;;
"1210385";"5";"21.10.5";"21.10";"Provitamins, vitamins and hormones; glycosides and vegetable alkaloids and their derivatives; antibiotics";;;;
"1210386";"6";"21.10.51";"21.10.5";"Provitamins, vitamins and their derivatives";;;;
"1210387";"6";"21.10.52";"21.10.5";"Hormones, derivatives thereof; other steroids, used primarily as hormones";;;;
"1210388";"6";"21.10.53";"21.10.5";"Glycosides, vegetable alkaloids, their salts, ethers, esters and other derivatives";;;;
"1210389";"6";"21.10.54";"21.10.5";"Antibiotics";;;;
"1210390";"5";"21.10.6";"21.10";"Glands and other organs; extracts thereof and other human or animal substances n.e.c.";;;;
"1210391";"6";"21.10.60";"21.10.6";"Glands and other organs; extracts thereof and other human or animal substances n.e.c.";;;;
"1210392";"5";"21.10.9";"21.10";"Sub-contracted operations as part of manufacturing of basic pharmaceutical products";;;;
"1210393";"6";"21.10.99";"21.10.9";"Sub-contracted operations as part of manufacturing of basic pharmaceutical products";;;;
"1210394";"3";"21.2";"21";"Pharmaceutical preparations";;;;
"1210395";"4";"21.20";"21.2";"Pharmaceutical preparations";;;;
"1210396";"5";"21.20.1";"21.20";"Medicaments";;;;
"1210397";"6";"21.20.11";"21.20.1";"Medicaments, containing penicillins or other antibiotics";;;;
"1210398";"6";"21.20.12";"21.20.1";"Medicaments, containing hormones, but not antibiotics";;;;
"1210399";"6";"21.20.13";"21.20.1";"Medicaments, containing alkaloids or derivatives thereof, but not hormones or antibiotics";;;;
"1210400";"5";"21.20.2";"21.20";"Other pharmaceutical preparations";;;;
"1210401";"6";"21.20.21";"21.20.2";"Antisera and vaccines";;;;
"1210402";"6";"21.20.22";"21.20.2";"Chemical contraceptive preparations based on hormones or spermicides";;;;
"1210403";"6";"21.20.23";"21.20.2";"Diagnostic reagents and other pharmaceutical preparations";;;;
"1210404";"6";"21.20.24";"21.20.2";"Adhesive dressings, catgut and similar materials; first-aid boxes";;;;
"1210405";"5";"21.20.9";"21.20";"Sub-contracted operations as part of manufacturing of pharmaceutical preparations";;;;
"1210406";"6";"21.20.99";"21.20.9";"Sub-contracted operations as part of manufacturing of pharmaceutical preparations";;;;
"1210407";"2";"22";"C";"Rubber and plastic products";;;;
"1210408";"3";"22.1";"22";"Rubber products";;;;
"1210409";"4";"22.11";"22.1";"Rubber tyres and tubes; retreading and rebuilding of rubber tyres";;;;
"1210410";"5";"22.11.1";"22.11";"New rubber tyres and tubes";;;;
"1210411";"6";"22.11.11";"22.11.1";"New pneumatic tyres, of rubber, of a kind used on motor cars";;;;
"1210412";"6";"22.11.12";"22.11.1";"New pneumatic tyres, of rubber, of a kind used on motorcycles or bicycles";;;;
"1210413";"6";"22.11.13";"22.11.1";"New pneumatic tyres, of rubber, of a kind used on buses, lorries or aircraft";;;;
"1210414";"6";"22.11.14";"22.11.1";"Agrarian tyres; other new pneumatic tyres, of rubber";;;;
"1210415";"6";"22.11.15";"22.11.1";"Inner tubes, solid or cushion tyres, interchangeable tyre treads and tyre flaps, of rubber";;;;
"1210416";"6";"22.11.16";"22.11.1";"Camel-back strips for retreading rubber tyres";;;;
"1210417";"5";"22.11.2";"22.11";"Retreaded pneumatic tyres, of rubber";;;;
"1210418";"6";"22.11.20";"22.11.2";"Retreaded pneumatic tyres, of rubber";;;;
"1210419";"5";"22.11.9";"22.11";"Sub-contracted operations as part of manufacturing of rubber tyres and tubes; retreading and rebuilding of rubber tyres";;;;
"1210420";"6";"22.11.99";"22.11.9";"Sub-contracted operations as part of manufacturing of rubber tyres and tubes; retreading and rebuilding of rubber tyres";;;;
"1210421";"4";"22.19";"22.1";"Other rubber products";;;;
"1210422";"5";"22.19.1";"22.19";"Reclaimed rubber in primary forms or in plates, sheets or strip";;;;
"1210423";"6";"22.19.10";"22.19.1";"Reclaimed rubber in primary forms or in plates, sheets or strip";;;;
"1210424";"5";"22.19.2";"22.19";"Unvulcanised rubber and articles thereof; vulcanised rubber, other than hard rubber, in thread, cord, plates, sheets, strip, rods and profile shapes";;;;
"1210425";"6";"22.19.20";"22.19.2";"Unvulcanised rubber and articles thereof; vulcanised rubber, other than hard rubber, in thread, cord, plates, sheets, strip, rods and profile shapes";;;;
"1210426";"5";"22.19.3";"22.19";"Tubes, pipes and hoses, of vulcanised rubber other than hard rubber";;;;
"1210427";"6";"22.19.30";"22.19.3";"Tubes, pipes and hoses, of vulcanised rubber other than hard rubber";;;;
"1210428";"5";"22.19.4";"22.19";"Conveyor or transmission belts or belting, of vulcanised rubber";;;;
"1210429";"6";"22.19.40";"22.19.4";"Conveyor or transmission belts or belting, of vulcanised rubber";;;;
"1210430";"5";"22.19.5";"22.19";"Rubberised textile fabrics, except tyre cord fabric";;;;
"1210431";"6";"22.19.50";"22.19.5";"Rubberised textile fabrics, except tyre cord fabric";;;;
"1210432";"5";"22.19.6";"22.19";"Articles of apparel and clothing accessories, of vulcanised rubber other than hard rubber";;;;
"1210433";"6";"22.19.60";"22.19.6";"Articles of apparel and clothing accessories, of vulcanised rubber other than hard rubber";;;;
"1210434";"5";"22.19.7";"22.19";"Articles of vulcanised rubber n.e.c.; hard rubber; articles of hard rubber";;;;
"1210435";"6";"22.19.71";"22.19.7";"Hygienic or pharmaceutical articles (including teats), of vulcanised rubber other than hard rubber";;;;
"1210436";"6";"22.19.72";"22.19.7";"Floor coverings and mats, of vulcanised rubber other than cellular";;;;
"1210437";"6";"22.19.73";"22.19.7";"Other articles of vulcanised rubber n.e.c.; hard rubber in all forms and articles thereof; floor coverings and mats, of vulcanised cellular rubber";;;;
"1210438";"5";"22.19.9";"22.19";"Sub-contracted operations as part of manufacturing of other rubber products";;;;
"1210439";"6";"22.19.99";"22.19.9";"Sub-contracted operations as part of manufacturing of other rubber products";;;;
"1210440";"3";"22.2";"22";"Plastic products";;;;
"1210441";"4";"22.21";"22.2";"Plastic plates, sheets, tubes and profiles";;;;
"1210442";"5";"22.21.1";"22.21";"Monofilament > 1 mm, rods, sticks and profile shapes, of plastics";;;;
"1210443";"6";"22.21.10";"22.21.1";"Monofilament > 1 mm, rods, sticks and profile shapes, of plastics";;;;
"1210444";"5";"22.21.2";"22.21";"Tubes, pipes and hoses and fittings thereof, of plastics";;;;
"1210445";"6";"22.21.21";"22.21.2";"Artificial guts, of hardened proteins or of cellulosic materials; tubes, pipes and hoses, rigid, of plastics";;;;
"1210446";"6";"22.21.29";"22.21.2";"Other tubes, pipes, hoses and fittings thereof, of plastics";;;;
"1210447";"5";"22.21.3";"22.21";"Plates, sheets, film, foil and strip, of plastics, not supported or similarly combined with other materials";;;;
"1210448";"6";"22.21.30";"22.21.3";"Plates, sheets, film, foil and strip, of plastics, not supported or similarly combined with other materials";;;;
"1210449";"5";"22.21.4";"22.21";"Other plates, sheets, film, foil and strip, of plastics";;;;
"1210450";"6";"22.21.41";"22.21.4";"Other plates, sheets, film, foil and strip, of plastics, cellular";;;;
"1210451";"6";"22.21.42";"22.21.4";"Other plates, sheets, film, foil and strip, of plastics, non-cellular";;;;
"1210452";"5";"22.21.9";"22.21";"Sub-contracted operations as part of manufacturing of plastic plates, sheets, tubes and profiles";;;;
"1210453";"6";"22.21.99";"22.21.9";"Sub-contracted operations as part of manufacturing of plastic plates, sheets, tubes and profiles";;;;
"1210454";"4";"22.22";"22.2";"Plastic packing goods";;;;
"1210455";"5";"22.22.1";"22.22";"Plastic packing goods";;;;
"1210456";"6";"22.22.11";"22.22.1";"Sacks and bags (including cones), of polymers of ethylene";;;;
"1210457";"6";"22.22.12";"22.22.1";"Sacks and bags (including cones), of other plastics than polymers of ethylene";;;;
"1210458";"6";"22.22.13";"22.22.1";"Boxes, cases, crates and similar articles of plastics";;;;
"1210459";"6";"22.22.14";"22.22.1";"Carboys, bottles, flasks and similar articles of plastics";;;;
"1210460";"6";"22.22.19";"22.22.1";"Other plastic packing goods";;;;
"1210461";"5";"22.22.9";"22.22";"Sub-contracted operations as part of manufacturing of plastic packing goods";;;;
"1210462";"6";"22.22.99";"22.22.9";"Sub-contracted operations as part of manufacturing of plastic packing goods";;;;
"1210463";"4";"22.23";"22.2";"Builders’ ware of plastic";;;;
"1210464";"5";"22.23.1";"22.23";"Builders’ ware of plastic; linoleum and hard non-plastic surface floor coverings";;;;
"1210465";"6";"22.23.11";"22.23.1";"Floor, wall or ceiling coverings of plastics, in rolls or in the form of tiles";;;;
"1210466";"6";"22.23.12";"22.23.1";"Baths, wash-basins, lavatory pans and covers, flushing cisterns and similar sanitary ware, of plastics";;;;
"1210467";"6";"22.23.13";"22.23.1";"Reservoirs, tanks, vats and similar containers, capacity > 300 l, of plastics";;;;
"1210468";"6";"22.23.14";"22.23.1";"Doors, windows and frames and thresholds for doors; shutters, blinds and similar articles and parts thereof, of plastics";;;;
"1210469";"6";"22.23.15";"22.23.1";"Linoleum and hard non-plastic surface floor coverings, i.e. resilient floor coverings, such as vinyl, linoleum etc.";;;;
"1210470";"6";"22.23.19";"22.23.1";"Builders' ware of plastics n.e.c.";;;;
"1210471";"5";"22.23.2";"22.23";"Prefabricated buildings of plastics";;;;
"1210472";"6";"22.23.20";"22.23.2";"Prefabricated buildings of plastics";;;;
"1210473";"5";"22.23.9";"22.23";"Sub-contracted operations as part of manufacturing of builders' ware of plastics";;;;
"1210474";"6";"22.23.99";"22.23.9";"Sub-contracted operations as part of manufacturing of builders' ware of plastics";;;;
"1210475";"4";"22.29";"22.2";"Other plastic products";;;;
"1210476";"5";"22.29.1";"22.29";"Apparel and clothing accessories (including gloves), of plastics";;;;
"1210477";"6";"22.29.10";"22.29.1";"Apparel and clothing accessories (including gloves), of plastics";;;;
"1210478";"5";"22.29.2";"22.29";"Other plastic products n.e.c.";;;;
"1210479";"6";"22.29.21";"22.29.2";"Self-adhesive plates, sheets, film, foil, tapes, strip and other flat shapes of plastics, in rolls of width ≤ 20 cm";;;;
"1210480";"6";"22.29.22";"22.29.2";"Other self-adhesive plates, sheets, film, foil, tapes, strip and other flat shapes of plastics";;;;
"1210481";"6";"22.29.23";"22.29.2";"Tableware, kitchenware, other household articles and toilet articles, of plastics";;;;
"1210482";"6";"22.29.24";"22.29.2";"Parts n.e.c. for lamps and lighting fitting, illuminated name-plates and the like, of plastics";;;;
"1210483";"6";"22.29.25";"22.29.2";"Office or school supplies of plastics";;;;
"1210484";"6";"22.29.26";"22.29.2";"Fittings for furniture, coachwork or the like, of plastics; statuettes and other ornamental articles, of plastics";;;;
"1210485";"6";"22.29.29";"22.29.2";"Other articles of plastics";;;;
"1210486";"5";"22.29.9";"22.29";"Manufacturing services of other plastic products; sub-contracted operations as part of manufacturing of other plastic products";;;;
"1210487";"6";"22.29.91";"22.29.9";"Manufacturing services of other plastic products";;;;
"1210488";"6";"22.29.99";"22.29.9";"Sub-contracted operations as part of manufacturing of other plastic products";;;;
"1210489";"2";"23";"C";"Other non-metallic mineral products";;;;
"1210490";"3";"23.1";"23";"Glass and glass products";;;;
"1210491";"4";"23.11";"23.1";"Flat glass";;;;
"1210492";"5";"23.11.1";"23.11";"Flat glass";;;;
"1210493";"6";"23.11.11";"23.11.1";"Glass cast, rolled, drawn or blown, in sheets, but not otherwise worked";;;;
"1210494";"6";"23.11.12";"23.11.1";"Float glass and surface ground or polished glass, in sheets, but not otherwise worked";;;;
"1210495";"5";"23.11.9";"23.11";"Sub-contracted operations as part of manufacturing of flat glass";;;;
"1210496";"6";"23.11.99";"23.11.9";"Sub-contracted operations as part of manufacturing of flat glass";;;;
"1210497";"4";"23.12";"23.1";"Shaped and processed flat glass";;;;
"1210498";"5";"23.12.1";"23.12";"Shaped and processed flat glass";;;;
"1210499";"6";"23.12.11";"23.12.1";"Glass in sheets, bent, edge-worked, engraved, drilled, enamelled or otherwise worked, but not framed or mounted";;;;
"1210500";"6";"23.12.12";"23.12.1";"Safety glass";;;;
