"Order";"Level";"Code";"Parent";"Description";"This item includes";"This item also includes";"Rulings";"This item excludes"
"1208881";"6";"01.14.10";"01.14.1";"Sugar cane";;;;
"1208882";"4";"01.15";"01.1";"Unmanufactured tobacco";;;;
"1208883";"5";"01.15.1";"01.15";"Unmanufactured tobacco";;;;
"1208884";"6";"01.15.10";"01.15.1";"Unmanufactured tobacco";;;;
"1208885";"4";"01.16";"01.1";"Fibre crops";;;;
"1208886";"5";"01.16.1";"01.16";"Fibre crops";;;;
"1208887";"6";"01.16.11";"01.16.1";"Cotton, whether or not ginned";;;;
"1208888";"6";"01.16.12";"01.16.1";"Jute, kenaf and other textile bast fibres, raw or retted, except flax, true hemp and ramie";;;;
"1208889";"6";"01.16.19";"01.16.1";"Flax, true hemp and raw fibre crops n.e.c.";;;;
"1208890";"4";"01.19";"01.1";"Other non-perennial crops";;;;
"1208891";"5";"01.19.1";"01.19";"Forage crops";;;;
"1208892";"6";"01.19.10";"01.19.1";"Forage crops";;;;
"1208893";"5";"01.19.2";"01.19";"Cut flowers and flower buds; flower seeds";;;;
"1208894";"6";"01.19.21";"01.19.2";"Cut flowers and flower buds";;;;
"1208895";"6";"01.19.22";"01.19.2";"Flower seeds";;;;
"1208896";"5";"01.19.3";"01.19";"Beet seeds, seeds for forage plants; other raw vegetable materials";;;;
"1208897";"6";"01.19.31";"01.19.3";"Beet seeds (excluding sugar beet seeds) and seeds for forage plants";;;;
"1208898";"6";"01.19.39";"01.19.3";"Raw vegetable materials n.e.c.";;;;
"1208899";"3";"01.2";"01";"Perennial crops";;;;
"1208900";"4";"01.21";"01.2";"Grapes";;;;
"1208901";"5";"01.21.1";"01.21";"Grapes";;;;
"1208902";"6";"01.21.11";"01.21.1";"Table grapes";;;;
"1208903";"6";"01.21.12";"01.21.1";"Other grapes, fresh";;;;
"1208904";"4";"01.22";"01.2";"Tropical and subtropical fruits";;;;
"1208905";"5";"01.22.1";"01.22";"Tropical and subtropical fruits";;;;
"1208906";"6";"01.22.11";"01.22.1";"Avocados";;;;
"1208907";"6";"01.22.12";"01.22.1";"Bananas, plantains and similar";;;;
"1208908";"6";"01.22.13";"01.22.1";"Dates";;;;
"1208909";"6";"01.22.14";"01.22.1";"Figs";;;;
"1208910";"6";"01.22.19";"01.22.1";"Other tropical and subtropical fruits";;;;
"1208911";"4";"01.23";"01.2";"Citrus fruits";;;;
"1208912";"5";"01.23.1";"01.23";"Citrus fruits";;;;
"1208913";"6";"01.23.11";"01.23.1";"Pomelo and grapefruits";;;;
"1208914";"6";"01.23.12";"01.23.1";"Lemons and limes";;;;
"1208915";"6";"01.23.13";"01.23.1";"Oranges";;;;
"1208916";"6";"01.23.14";"01.23.1";"Tangerines, mandarins, clementines";;;;
"1208917";"6";"01.23.19";"01.23.1";"Other citrus fruits";;;;
"1208918";"4";"01.24";"01.2";"Pome fruits and stone fruits";;;;
"1208919";"5";"01.24.1";"01.24";"Apples";;;;
"1208920";"6";"01.24.10";"01.24.1";"Apples";;;;
"1208921";"5";"01.24.2";"01.24";"Other pome fruits and stone fruits";;;;
"1208922";"6";"01.24.21";"01.24.2";"Pears";;;;
"1208923";"6";"01.24.22";"01.24.2";"Quinces";;;;
"1208924";"6";"01.24.23";"01.24.2";"Apricots";;;;
"1208925";"6";"01.24.24";"01.24.2";"Cherries";;;;
"1208926";"6";"01.24.25";"01.24.2";"Peaches";;;;
"1208927";"6";"01.24.26";"01.24.2";"Nectarines";;;;
"1208928";"6";"01.24.27";"01.24.2";"Plums";;;;
"1208929";"6";"01.24.28";"01.24.2";"Sloes";;;;
"1208930";"6";"01.24.29";"01.24.2";"Other pome fruits and stone fruits n.e.c.";;;;
"1208931";"4";"01.25";"01.2";"Other tree and bush fruits and nuts";;;;
"1208932";"5";"01.25.1";"01.25";"Berries and the fruits of the genus vaccinium";;;;
"1208933";"6";"01.25.11";"01.25.1";"Kiwi fruit";;;;
"1208934";"6";"01.25.12";"01.25.1";"Raspberries";;;;
"1208935";"6";"01.25.13";"01.25.1";"Strawberries";;;;
"1208936";"6";"01.25.19";"01.25.1";"Other berries, the fruits of the genus vaccinium n.e.c.";;;;
"1208937";"5";"01.25.2";"01.25";"Fruit seeds";;;;
"1208938";"6";"01.25.20";"01.25.2";"Fruit seeds";;;;
"1208939";"5";"01.25.3";"01.25";"Nuts (excluding wild edible nuts, groundnuts and coconuts)";;;;
"1208940";"6";"01.25.31";"01.25.3";"Almonds";;;;
"1208941";"6";"01.25.32";"01.25.3";"Chestnuts";;;;
"1208942";"6";"01.25.33";"01.25.3";"Hazelnuts";;;;
"1208943";"6";"01.25.34";"01.25.3";"Pistachios";;;;
"1208944";"6";"01.25.35";"01.25.3";"Walnuts";;;;
"1208945";"6";"01.25.39";"01.25.3";"Other nuts (excluding wild edible nuts, groundnuts and coconuts)";;;;
"1208946";"5";"01.25.9";"01.25";"Other tree and bush fruits n.e.c.";;;;
"1208947";"6";"01.25.90";"01.25.9";"Other tree and bush fruits n.e.c.";;;;
"1208948";"4";"01.26";"01.2";"Oleaginous fruits";;;;
"1208949";"5";"01.26.1";"01.26";"Olives";;;;
"1208950";"6";"01.26.11";"01.26.1";"Table olives";;;;
"1208951";"6";"01.26.12";"01.26.1";"Olives for production of olive oil";;;;
"1208952";"5";"01.26.2";"01.26";"Coconuts";;;;
"1208953";"6";"01.26.20";"01.26.2";"Coconuts";;;;
"1208954";"5";"01.26.9";"01.26";"Other oleaginous fruits";;;;
"1208955";"6";"01.26.90";"01.26.9";"Other oleaginous fruits";;;;
"1208956";"4";"01.27";"01.2";"Beverage crops";;;;
"1208957";"5";"01.27.1";"01.27";"Beverage crops";;;;
"1208958";"6";"01.27.11";"01.27.1";"Coffee beans, not roasted";;;;
"1208959";"6";"01.27.12";"01.27.1";"Tea leaves";;;;
"1208960";"6";"01.27.13";"01.27.1";"Maté leaves";;;;
"1208961";"6";"01.27.14";"01.27.1";"Cocoa beans";;;;
"1208962";"4";"01.28";"01.2";"Spices, aromatic, drug and pharmaceutical crops";;;;
"1208963";"5";"01.28.1";"01.28";"Spices, not processed";;;;
"1208964";"6";"01.28.11";"01.28.1";"Pepper (piper spp.), raw";;;;
"1208965";"6";"01.28.12";"01.28.1";"Chillies and peppers, dry (capsicum spp.), raw";;;;
"1208966";"6";"01.28.13";"01.28.1";"Nutmeg, mace and cardamoms, raw";;;;
