"Order";"Level";"Code";"Parent";"Description"
"681641";"5";"01431";"0143";"Cottonseed, seed for planting"
"681642";"5";"01432";"0143";"Cottonseed, other"
"681643";"4";"0144";"014";"Other oilseeds"
"681644";"5";"01441";"0144";"Linseed"
"681645";"5";"01442";"0144";"Mustard seed"
"681646";"5";"01443";"0144";"Rape or colza seed"
"681647";"5";"01444";"0144";"Sesame seed"
"681648";"5";"01445";"0144";"Sunflower seed"
"681649";"5";"01446";"0144";"Safflower seed"
"681650";"5";"01449";"0144";"Other oil seeds, n.e.c."
"681651";"4";"0145";"014";"Olives"
"681652";"5";"01450";"0145";"Olives"
"681653";"4";"0146";"014";"Coconuts, in shell"
"681654";"5";"01460";"0146";"Coconuts, in shell"
"681655";"4";"0149";"014";"Other oleaginous fruits"
"681656";"5";"01491";"0149";"Palm nuts and kernels"
"681657";"5";"01499";"0149";"Other oleaginous fruits, n.e.c."
"681658";"3";"015";"01";"Edible roots and tubers with high starch or inulin content"
"681659";"4";"0151";"015";"Potatoes"
"681660";"5";"01510";"0151";"Potatoes"
"681661";"4";"0159";"015";"Other edible roots and tubers with high starch or inulin content"
"681662";"5";"01591";"0159";"Sweet potatoes"
"681663";"5";"01592";"0159";"Cassava"
"681664";"5";"01593";"0159";"Yams"
"681665";"5";"01599";"0159";"Edible roots and tubers with high starch or inulin content, n.e.c."
"681666";"3";"016";"01";"Stimulant, spice and aromatic crops"
"681667";"4";"0161";"016";"Coffee, green"
"681668";"5";"01610";"0161";"Coffee, green"
"681669";"4";"0162";"016";"Tea leaves"
"681670";"5";"01620";"0162";"Tea leaves"
"681671";"4";"0163";"016";"Maté leaves"
"681672";"5";"01630";"0163";"Maté leaves"
"681673";"4";"0164";"016";"Cocoa beans"
"681674";"5";"01640";"0164";"Cocoa beans"
"681675";"4";"0165";"016";"Spice and aromatic crops, raw"
"681676";"5";"01651";"0165";"Pepper (Piper spp.), raw"
"681677";"5";"01652";"0165";"Chillies and peppers, dry (Capsicum spp., Pimenta), raw"
"681678";"5";"01653";"0165";"Nutmeg, mace, cardamoms, raw"
"681679";"5";"01654";"0165";"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"
"681680";"5";"01655";"0165";"Cinnamon (canella), raw"
"681681";"5";"01656";"0165";"Cloves (whole stems), raw"
"681682";"5";"01657";"0165";"Ginger, raw"
"681683";"5";"01658";"0165";"Vanilla, raw"
"681684";"5";"01659";"0165";"Hop cones"
"681685";"4";"0169";"016";"Stimulant, spice and aromatic crops, n.e.c."
"681686";"5";"01690";"0169";"Stimulant, spice and aromatic crops, n.e.c."
"681687";"3";"017";"01";"Pulses (dried leguminous vegetables)"
"681688";"4";"0170";"017";"Pulses (dried leguminous vegetables)"
"681689";"5";"01701";"0170";"Beans, dry"
"681690";"5";"01702";"0170";"Broad beans, dry"
"681691";"5";"01703";"0170";"Chick peas, dry"
"681692";"5";"01704";"0170";"Lentils, dry"
"681693";"5";"01705";"0170";"Peas, dry"
"681694";"5";"01709";"0170";"Pulses, n.e.c."
"681695";"3";"018";"01";"Sugar crops"
"681696";"4";"0180";"018";"Sugar crops"
"681697";"5";"01801";"0180";"Sugar beet"
"681698";"5";"01802";"0180";"Sugar cane"
"681699";"5";"01803";"0180";"Sugar beet seeds"
"681700";"5";"01809";"0180";"Other sugar crops n.e.c."
"681701";"3";"019";"01";"Forage products, fibres, living plants, cut flowers and flower buds, unmanufactured tobacco, and natural rubber"
"681702";"4";"0191";"019";"Forage products"
"681703";"5";"01911";"0191";"Maize for forage and silage"
"681704";"5";"01912";"0191";"Alfalfa for forage and silage"
"681705";"5";"01913";"0191";"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets"
"681706";"5";"01919";"0191";"Forage products, n.e.c."
"681707";"4";"0192";"019";"Fibre crops"
"681708";"5";"01921";"0192";"Cotton, whether or not ginned"
"681709";"5";"01922";"0192";"Jute, kenaf, and other textile bast fibres, raw or retted, except flax, true hemp and ramie"
"681710";"5";"01929";"0192";"Other fibre crops, raw, n.e.c."
"681711";"4";"0193";"019";"Plants and parts of plants used primarily in perfumery, in pharmacy, or for insecticidal, fungicidal or similar purposes"
"681712";"5";"01930";"0193";"Plants and parts of plants used primarily in perfumery, in pharmacy, or for insecticidal, fungicidal or similar purposes"
"681713";"4";"0194";"019";"Beet seeds (excluding sugar beet seeds) and seeds of forage plants"
"681714";"5";"01940";"0194";"Beet seeds (excluding sugar beet seeds) and seeds of forage plants"
"681715";"4";"0195";"019";"Natural rubber in primary forms or in plates, sheets or strip"
"681716";"5";"01950";"0195";"Natural rubber in primary forms or in plates, sheets or strip"
"681717";"4";"0196";"019";"Living plants; cut flowers and flower buds; flower seeds"
"681718";"5";"01961";"0196";"Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn"
"681719";"5";"01962";"0196";"Cut flowers and flower buds including bouquets, wreaths, floral baskets and similar articles"
"681720";"5";"01963";"0196";"Flower seeds"
"681721";"4";"0197";"019";"Unmanufactured tobacco"
"681722";"5";"01970";"0197";"Unmanufactured tobacco"
"681723";"4";"0199";"019";"Other raw vegetable materials, n.e.c."
"681724";"5";"01990";"0199";"Other raw vegetable materials, n.e.c."
"681725";"2";"02";"0";"Live animals and animal products (excluding meat)"
"681726";"3";"021";"02";"Live animals"
"681727";"4";"0211";"021";"Bovine animals, live"
"681728";"5";"02111";"0211";"Cattle"
"681729";"5";"02112";"0211";"Buffalo"
"681730";"4";"0212";"021";"Other ruminants"
"681731";"5";"02121";"0212";"Camels and camelids"
"681732";"5";"02122";"0212";"Sheep"
"681733";"5";"02123";"0212";"Goats"
"681734";"5";"02129";"0212";"Other ruminants, n.e.c."
"681735";"4";"0213";"021";"Horses and other equines"
"681736";"5";"02130";"0213";"Horses and other equines"
"681737";"4";"0214";"021";"Swine / pigs"
"681738";"5";"02140";"0214";"Swine / pigs"
"681739";"4";"0215";"021";"Poultry"
"681740";"5";"02151";"0215";"Chickens"
"681741";"5";"02152";"0215";"Turkeys"
"681742";"5";"02153";"0215";"Geese"
"681743";"5";"02154";"0215";"Ducks"
"681744";"5";"02155";"0215";"Guinea fowls"
"681745";"4";"0219";"021";"Other live animals"
"681746";"5";"02191";"0219";"Rabbits and hares"
"681747";"5";"02192";"0219";"Other mammals"
"681748";"5";"02193";"0219";"Ostriches and emus"
"681749";"5";"02194";"0219";"Other birds"
"681750";"5";"02195";"0219";"Reptiles"
"681751";"5";"02196";"0219";"Bees"
"681752";"5";"02199";"0219";"Other live animals, n.e.c."
"681753";"3";"022";"02";"Raw milk"
"681754";"4";"0221";"022";"Raw milk from bovine animals"
"681755";"5";"02211";"0221";"Raw milk of cattle"
"681756";"5";"02212";"0221";"Raw milk of buffalo"
"681757";"4";"0229";"022";"Other raw milk"
"681758";"5";"02291";"0229";"Raw milk of sheep"
"681759";"5";"02292";"0229";"Raw milk of goats"
"681760";"5";"02293";"0229";"Raw milk of camel"
"681761";"5";"02299";"0229";"Other raw milk n.e.c."
"681762";"3";"023";"02";"Eggs of hens or other birds in shell, fresh"
"681763";"4";"0231";"023";"Hen eggs in shell, fresh"
"681764";"5";"02310";"0231";"Hen eggs in shell, fresh"
"681765";"4";"0232";"023";"Eggs from other birds in shell, fresh, n.e.c."
"681766";"5";"02320";"0232";"Eggs from other birds in shell, fresh, n.e.c."
"681767";"4";"0233";"023";"Eggs for hatching"
"681768";"5";"02330";"0233";"Eggs for hatching"
"681769";"3";"024";"02";"Reproductive materials of animals"
"681770";"4";"0241";"024";"Semen"
"681771";"5";"02411";"0241";"Bovine semen"
"681772";"5";"02419";"0241";"Semen, n.e.c."
"681773";"4";"0242";"024";"Embryos"
"681774";"5";"02420";"0242";"Embryos"
"681775";"3";"029";"02";"Other animal products"
"681776";"4";"0291";"029";"Natural honey"
"681777";"5";"02910";"0291";"Natural honey"
"681778";"4";"0292";"029";"Snails, fresh, chilled, frozen, dried, salted or in brine, except sea snails"
"681779";"5";"02920";"0292";"Snails, fresh, chilled, frozen, dried, salted or in brine, except sea snails"
"681780";"4";"0293";"029";"Edible products of animal origin n.e.c."
"681781";"5";"02930";"0293";"Edible products of animal origin n.e.c."
"681782";"4";"0294";"029";"Raw animal materials used in textiles"
"681783";"5";"02941";"0294";"Shorn wool, greasy, including fleece-washed shorn wool"
"681784";"5";"02942";"0294";"Pulled wool, greasy, including fleece-washed pulled wool; coarse animal hair"
"681785";"5";"02943";"0294";"Fine animal hair, not carded or combed"
"681786";"5";"02944";"0294";"Silk-worm cocoons suitable for reeling"
"681787";"4";"0295";"029";"Hides, skins and furskins, raw"
"681788";"5";"02951";"0295";"Raw hides and skins of bovine animals"
"681789";"5";"02952";"0295";"Raw hides and skins of equine animals"
"681790";"5";"02953";"0295";"Raw hides and skins of sheep or lambs"
"681791";"5";"02954";"0295";"Raw hides and skins of goats or kids"
"681792";"5";"02955";"0295";"Raw furskins"
"681793";"5";"02959";"0295";"Raw skins of other animals"
"681794";"4";"0296";"029";"Insect waxes and spermaceti, whether or not refined or coloured"
"681795";"5";"02960";"0296";"Insect waxes and spermaceti, whether or not refined or coloured"
"681796";"2";"03";"0";"Forestry and logging products"
"681797";"3";"031";"03";"Wood in the rough"
"681798";"4";"0311";"031";"Logs of coniferous wood"
"681799";"5";"03110";"0311";"Logs of coniferous wood"
"681800";"4";"0312";"031";"Logs of non-coniferous wood"
"681801";"5";"03120";"0312";"Logs of non-coniferous wood"
"681802";"4";"0313";"031";"Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms"
"681803";"5";"03130";"0313";"Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms"
"681804";"3";"032";"03";"Non-wood forest products"
"681805";"4";"0321";"032";"Natural gums and resins, gums-resins and oleoresins"
"681806";"5";"03211";"0321";"Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip"
"681807";"5";"03219";"0321";"Lac, resins, balsams, natural gums and other resins n.e.c."
"681808";"4";"0322";"032";"Natural cork, raw or simply prepared"
"681809";"5";"03220";"0322";"Natural cork, raw or simply prepared"
"681810";"4";"0323";"032";"Wild edible products"
"681811";"5";"03230";"0323";"Wild edible products"
"681812";"4";"0324";"032";"Parts of plants, without flowers or flower buds, and grasses, mosses and lichens, suitable for ornamental purposes"
"681813";"5";"03241";"0324";"Christmas trees"
"681814";"5";"03249";"0324";"Other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, suitable for ornamental purposes"
"681815";"4";"0325";"032";"Vegetable materials of a kind used primarily for plaiting or as stuffing or padding; raw vegetable materials of a kind used primarily for dyeing or tanning; vegetable products n.e.c."
"681816";"5";"03250";"0325";"Vegetable materials of a kind used primarily for plaiting or as stuffing or padding; raw vegetable materials of a kind used primarily for dyeing or tanning; vegetable products n.e.c."
"681817";"2";"04";"0";"Fish and other fishing products"
"681818";"3";"041";"04";"Fishes, live, fresh or chilled"
"681819";"4";"0411";"041";"Fish, live"
"681820";"5";"04111";"0411";"Ornamental fish"
"681821";"5";"04119";"0411";"Other live fish"
"681822";"4";"0412";"041";"Fish, fresh or chilled"
"681823";"5";"04120";"0412";"Fish, fresh or chilled"
"681824";"3";"042";"04";"Crustaceans, not frozen; oysters; other molluscs and aquatic invertebrates, live, fresh or chilled"
"681825";"4";"0421";"042";"Crustaceans, not frozen"
"681826";"5";"04210";"0421";"Crustaceans, not frozen"
"681827";"4";"0422";"042";"Oysters"
"681828";"5";"04220";"0422";"Oysters"
"681829";"4";"0429";"042";"Other molluscs and aquatic invertebrates, live, fresh or chilled"
"681830";"5";"04291";"0429";"Other molluscs, live, fresh or chilled"
"681831";"5";"04299";"0429";"Other aquatic invertebrates, live, fresh or chilled"
"681832";"3";"049";"04";"Other aquatic plants and animals"
"681833";"4";"0491";"049";"Coral and similar products, shells of molluscs, crustaceans or echinoderms and cuttle-bone"
"681834";"5";"04910";"0491";"Coral and similar products, shells of molluscs, crustaceans or echinoderms and cuttle-bone"
"681835";"4";"0492";"049";"Natural sponges of aquatic animal origin"
"681836";"5";"04920";"0492";"Natural sponges of aquatic animal origin"
"681837";"4";"0493";"049";"Seaweeds and other algae, fresh, frozen or dried, whether or not ground"
"681838";"5";"04930";"0493";"Seaweeds and other algae, fresh, frozen or dried, whether or not ground"
"681839";"1";"1";;"Ores and minerals; electricity, gas and water"
"681840";"2";"11";"1";"Coal and lignite; peat"
"681841";"3";"110";"11";"Coal and lignite; peat"
"681842";"4";"1101";"110";"Coal, not agglomerated"
"681843";"5";"11010";"1101";"Coal, not agglomerated"
"681844";"4";"1102";"110";"Briquettes and similar solid fuels manufactured from coal"
"681845";"5";"11020";"1102";"Briquettes and similar solid fuels manufactured from coal"
"681846";"4";"1103";"110";"Lignite, not agglomerated"
"681847";"5";"11030";"1103";"Lignite, not agglomerated"
"681848";"4";"1104";"110";"Lignite, agglomerated"
"681849";"5";"11040";"1104";"Lignite, agglomerated"
"681850";"4";"1105";"110";"Peat"
"681851";"5";"11050";"1105";"Peat"
"681852";"2";"12";"1";"Crude petroleum and natural gas"
"681853";"3";"120";"12";"Crude petroleum and natural gas"
"681854";"4";"1201";"120";"Petroleum oils and oils obtained from bituminous minerals, crude"
"681855";"5";"12010";"1201";"Petroleum oils and oils obtained from bituminous minerals, crude"
"681856";"4";"1202";"120";"Natural gas, liquefied or in the gaseous state"
"681857";"5";"12020";"1202";"Natural gas, liquefied or in the gaseous state"
"681858";"4";"1203";"120";"Bituminous or oil shale and tar sands"
"681859";"5";"12030";"1203";"Bituminous or oil shale and tar sands"
"681860";"2";"13";"1";"Uranium and thorium ores and concentrates"
"681861";"3";"130";"13";"Uranium and thorium ores and concentrates"
"681862";"4";"1300";"130";"Uranium and thorium ores and concentrates"
"681863";"5";"13000";"1300";"Uranium and thorium ores and concentrates"
"681864";"2";"14";"1";"Metal ores"
"681865";"3";"141";"14";"Iron ores and concentrates, other than roasted iron pyrites"
"681866";"4";"1410";"141";"Iron ores and concentrates, other than roasted iron pyrites"
"681867";"5";"14100";"1410";"Iron ores and concentrates, other than roasted iron pyrites"
"681868";"3";"142";"14";"Non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)"
"681869";"4";"1421";"142";"Copper, ores and concentrates"
"681870";"5";"14210";"1421";"Copper, ores and concentrates"
"681871";"4";"1422";"142";"Nickel ores and concentrates"
"681872";"5";"14220";"1422";"Nickel ores and concentrates"
"681873";"4";"1423";"142";"Aluminium ores and concentrates"
"681874";"5";"14230";"1423";"Aluminium ores and concentrates"
"681875";"4";"1424";"142";"Precious metal ores and concentrates"
"681876";"5";"14240";"1424";"Precious metal ores and concentrates"
"681877";"4";"1429";"142";"Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)"
"681878";"5";"14290";"1429";"Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)"
"681879";"2";"15";"1";"Stone, sand and clay"
"681880";"3";"151";"15";"Monumental or building stone"
"681881";"4";"1511";"151";"Slate"
"681882";"5";"15110";"1511";"Slate"
"681883";"4";"1512";"151";"Marble and other calcareous monumental or building stone"
"681884";"5";"15120";"1512";"Marble and other calcareous monumental or building stone"
"681885";"4";"1513";"151";"Granite, sandstone and other monumental or building stone"
"681886";"5";"15130";"1513";"Granite, sandstone and other monumental or building stone"
"681887";"3";"152";"15";"Gypsum; anhydrite; limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement"
"681888";"4";"1520";"152";"Gypsum; anhydrite; limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement"
"681889";"5";"15200";"1520";"Gypsum; anhydrite; limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement"
"681890";"3";"153";"15";"Sands, pebbles, gravel, broken or crushed stone, natural bitumen and asphalt"
"681891";"4";"1531";"153";"Natural sands"
"681892";"5";"15310";"1531";"Natural sands"
"681893";"4";"1532";"153";"Pebbles, gravel, broken or crushed stone, macadam; granules, chippings and powder of stone"
"681894";"5";"15320";"1532";"Pebbles, gravel, broken or crushed stone, macadam; granules, chippings and powder of stone"
"681895";"4";"1533";"153";"Bitumen and asphalt, natural; asphaltites and asphaltic rock"
"681896";"5";"15330";"1533";"Bitumen and asphalt, natural; asphaltites and asphaltic rock"
"681897";"3";"154";"15";"Clays"
"681898";"4";"1540";"154";"Clays"
"681899";"5";"15400";"1540";"Clays"
"681900";"2";"16";"1";"Other minerals"
"681901";"3";"161";"16";"Chemical and fertilizer minerals"
"681902";"4";"1611";"161";"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk"
"681903";"5";"16110";"1611";"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk"
