"Order";"Level";"Code";"Parent";"Description"
"685930";"1";"00";;"IMPORTANT REMARK: This classification has been uploaded in RAMON for the specific needs of the ""Correspondence tables"" section of the server. The sole official version of this classification is to be found on the United Nations Web site. On this site you will also find much more information on this classification (for instance, other linguistic versions, detailed explanatory notes, rulings, etc.)."
"685931";"1";"A";;"Agriculture, forestry and fishing"
"685932";"2";"01";"A";"Crop and animal production, hunting and related service activities"
"685933";"3";"011";"01";"Growing of non-perennial crops"
"685934";"4";"0111";"011";"Growing of cereals (except rice), leguminous crops and oil seeds"
"685935";"4";"0112";"011";"Growing of rice"
"685936";"4";"0113";"011";"Growing of vegetables and melons, roots and tubers"
"685937";"4";"0114";"011";"Growing of sugar cane"
"685938";"4";"0115";"011";"Growing of tobacco"
"685939";"4";"0116";"011";"Growing of fibre crops"
"685940";"4";"0119";"011";"Growing of other non-perennial crops"
"685941";"3";"012";"01";"Growing of perennial crops"
"685942";"4";"0121";"012";"Growing of grapes"
"685943";"4";"0122";"012";"Growing of tropical and subtropical fruits"
"685944";"4";"0123";"012";"Growing of citrus fruits"
"685945";"4";"0124";"012";"Growing of pome fruits and stone fruits"
"685946";"4";"0125";"012";"Growing of other tree and bush fruits and nuts"
"685947";"4";"0126";"012";"Growing of oleaginous fruits"
"685948";"4";"0127";"012";"Growing of beverage crops"
"685949";"4";"0128";"012";"Growing of spices, aromatic, drug and pharmaceutical crops"
"685950";"4";"0129";"012";"Growing of other perennial crops"
"685951";"3";"013";"01";"Plant propagation"
"685952";"4";"0130";"013";"Plant propagation"
"685953";"3";"014";"01";"Animal production"
"685954";"4";"0141";"014";"Raising of cattle and buffaloes"
"685955";"4";"0142";"014";"Raising of horses and other equines"
"685956";"4";"0143";"014";"Raising of camels and camelids"
"685957";"4";"0144";"014";"Raising of sheep and goats"
"685958";"4";"0145";"014";"Raising of swine/pigs"
"685959";"4";"0146";"014";"Raising of poultry"
"685960";"4";"0149";"014";"Raising of other animals"
"685961";"3";"015";"01";"Mixed farming"
"685962";"4";"0150";"015";"Mixed farming"
"685963";"3";"016";"01";"Support activities to agriculture and post-harvest crop activities"
"685964";"4";"0161";"016";"Support activities for crop production"
"685965";"4";"0162";"016";"Support activities for animal production"
"685966";"4";"0163";"016";"Post-harvest crop activities"
"685967";"4";"0164";"016";"Seed processing for propagation"
"685968";"3";"017";"01";"Hunting, trapping and related service activities"
"685969";"4";"0170";"017";"Hunting, trapping and related service activities"
"685970";"2";"02";"A";"Forestry and logging"
"685971";"3";"021";"02";"Silviculture and other forestry activities"
"685972";"4";"0210";"021";"Silviculture and other forestry activities"
"685973";"3";"022";"02";"Logging"
"685974";"4";"0220";"022";"Logging"
"685975";"3";"023";"02";"Gathering of non-wood forest products"
"685976";"4";"0230";"023";"Gathering of non-wood forest products"
"685977";"3";"024";"02";"Support services to forestry"
"685978";"4";"0240";"024";"Support services to forestry"
"685979";"2";"03";"A";"Fishing and aquaculture"
"685980";"3";"031";"03";"Fishing"
"685981";"4";"0311";"031";"Marine fishing"
"685982";"4";"0312";"031";"Freshwater fishing"
"685983";"3";"032";"03";"Aquaculture"
"685984";"4";"0321";"032";"Marine aquaculture"
"685985";"4";"0322";"032";"Freshwater aquaculture"
"685986";"1";"B";;"Mining and quarrying"
"685987";"2";"05";"B";"Mining of coal and lignite"
"685988";"3";"051";"05";"Mining of hard coal"
"685989";"4";"0510";"051";"Mining of hard coal"
"685990";"3";"052";"05";"Mining of lignite"
"685991";"4";"0520";"052";"Mining of lignite"
"685992";"2";"06";"B";"Extraction of crude petroleum and natural gas"
"685993";"3";"061";"06";"Extraction of crude petroleum"
"685994";"4";"0610";"061";"Extraction of crude petroleum"
"685995";"3";"062";"06";"Extraction of natural gas"
"685996";"4";"0620";"062";"Extraction of natural gas"
