"Order";"Level";"Code";"Parent";"Description"
"397257";"3";"191";"19";"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness"
"397258";"4";"1911";"191";"Tanning and dressing of leather"
"397259";"4";"1912";"191";"Manufacture of luggage, handbags and the like, saddlery and harness"
"397260";"3";"192";"19";"Manufacture of footwear"
"397261";"4";"1920";"192";"Manufacture of footwear"
"397262";"2";"20";"D";"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
"397263";"3";"201";"20";"Sawmilling and planing of wood"
"397264";"4";"2010";"201";"Sawmilling and planing of wood"
"397265";"3";"202";"20";"Manufacture of products of wood, cork, straw and plaiting materials"
"397266";"4";"2021";"202";"Manufacture of veneer sheets; manufacture of plywood, laminboard, particle board and other panels and boards"
"397267";"4";"2022";"202";"Manufacture of builders' carpentry and joinery"
"397268";"4";"2023";"202";"Manufacture of wooden containers"
"397269";"4";"2029";"202";"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
"397270";"2";"21";"D";"Manufacture of paper and paper products"
"397271";"3";"210";"21";"Manufacture of paper and paper products"
"397272";"4";"2101";"210";"Manufacture of pulp, paper and paperboard"
"397273";"4";"2102";"210";"Manufacture of corrugated paper and paperboard and of containers of paper and paperboard"
"397274";"4";"2109";"210";"Manufacture of other articles of paper and paperboard"
"397275";"2";"22";"D";"Publishing, printing and reproduction of recorded media"
"397276";"3";"221";"22";"Publishing"
"397277";"4";"2211";"221";"Publishing of books, brochures, musical books and other publications"
"397278";"4";"2212";"221";"Publishing of newspapers, journals and periodicals"
"397279";"4";"2213";"221";"Publishing of recorded media"
"397280";"4";"2219";"221";"Other publishing"
"397281";"3";"222";"22";"Printing and service activities related to printing"
"397282";"4";"2221";"222";"Printing"
"397283";"4";"2222";"222";"Service activities related to printing"
"397284";"3";"223";"22";"Reproduction of recorded media"
"397285";"4";"2230";"223";"Reproduction of recorded media"
"397286";"2";"23";"D";"Manufacture of coke, refined petroleum products and nuclear fuel"
"397287";"3";"231";"23";"Manufacture of coke oven products"
"397288";"4";"2310";"231";"Manufacture of coke oven products"
"397289";"3";"232";"23";"Manufacture of refined petroleum products"
"397290";"4";"2320";"232";"Manufacture of refined petroleum products"
"397291";"3";"233";"23";"Processing of nuclear fuel"
"397292";"4";"2330";"233";"Processing of nuclear fuel"
"397293";"2";"24";"D";"Manufacture of chemicals and chemical products"
"397294";"3";"241";"24";"Manufacture of basic chemicals"
"397295";"4";"2411";"241";"Manufacture of basic chemicals, except fertilizers and nitrogen compounds"
"397296";"4";"2412";"241";"Manufacture of fertilizers and nitrogen compounds"
"397297";"4";"2413";"241";"Manufacture of plastics in primary forms and of synthetic rubber"
"397298";"3";"242";"24";"Manufacture of other chemical products"
"397299";"4";"2421";"242";"Manufacture of pesticides and other agro-chemical products"
"397300";"4";"2422";"242";"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
"397301";"4";"2423";"242";"Manufacture of pharmaceuticals, medicinal chemicals and botanical products"
"397302";"4";"2424";"242";"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations"
"397303";"4";"2429";"242";"Manufacture of other chemical products n.e.c."
"397304";"3";"243";"24";"Manufacture of man-made fibres"
"397305";"4";"2430";"243";"Manufacture of man-made fibres"
"397306";"2";"25";"D";"Manufacture of rubber and plastics products"
"397307";"3";"251";"25";"Manufacture of rubber products"
"397308";"4";"2511";"251";"Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres"
"397309";"4";"2519";"251";"Manufacture of other rubber products"
"397310";"3";"252";"25";"Manufacture of plastics products"
"397311";"4";"2520";"252";"Manufacture of plastics products"
"397312";"2";"26";"D";"Manufacture of other non-metallic mineral products"
"397313";"3";"261";"26";"Manufacture of glass and glass products"
"397314";"4";"2610";"261";"Manufacture of glass and glass products"
"397315";"3";"269";"26";"Manufacture of non-metallic mineral products n.e.c."
"397316";"4";"2691";"269";"Manufacture of non-structural non-refractory ceramic ware"
"397317";"4";"2692";"269";"Manufacture of refractory ceramic products"
"397318";"4";"2693";"269";"Manufacture of structural non-refractory clay and ceramic products"
"397319";"4";"2694";"269";"Manufacture of cement, lime and plaster"
